x,y,val-esp
1.0,5.0,56.7
-5.0,1.0,-20.5
0.0,0.0,0.0
5.0,-2.0,18.0
-2.0,2.0,2.4
0.0,-3.0,-10.5
2.0,-1.0,0.10000000000000009
1.0,1.0,-1.3
-3.0,-5.0,-59.900000000000006
4.0,-1.0,9.3
4.0,1.0,8.3
3.0,-3.0,-8.1
-5.0,0.0,-20.0
1.0,3.0,9.7
5.0,4.0,48.0
4.0,-1.0,9.3
-3.0,4.0,25.6
-4.0,-2.0,-10.8
3.0,3.0,12.899999999999999
-4.0,-5.0,-66.3
-1.0,2.0,2.8
0.0,1.0,-0.5
-4.0,-2.0,-10.8
-1.0,-5.0,-56.7
-3.0,-2.0,-4.4
5.0,-5.0,-37.5
-3.0,-3.0,-12.899999999999999
-3.0,3.0,8.1
-1.0,-4.0,-27.200000000000003
5.0,5.0,77.5
-5.0,-3.0,-30.5
3.0,5.0,59.900000000000006
0.0,1.0,-0.5
-5.0,-4.0,-48.0
2.0,-5.0,-57.9
1.0,-1.0,-0.30000000000000004
5.0,-2.0,18.0
-4.0,-5.0,-66.3
-3.0,5.0,55.1
2.0,-2.0,-2.4
-2.0,-2.0,-1.5999999999999996
1.0,0.0,-0.8
-1.0,5.0,58.3
-5.0,-3.0,-30.5
-3.0,-1.0,-1.9000000000000004
4.0,3.0,19.3
1.0,5.0,56.7
-2.0,-2.0,-1.5999999999999996
1.0,-2.0,-2.8
-5.0,3.0,-9.5
4.0,-4.0,-19.2
-1.0,4.0,28.8
3.0,5.0,59.900000000000006
4.0,2.0,10.8
3.0,5.0,59.900000000000006
-3.0,3.0,8.1
2.0,3.0,10.1
0.0,-2.0,-2.0
0.0,-5.0,-57.5
4.0,4.0,36.8
0.0,4.0,28.0
4.0,4.0,36.8
3.0,-2.0,0.40000000000000036
-3.0,-3.0,-12.899999999999999
4.0,-1.0,9.3
0.0,3.0,10.5
-3.0,5.0,55.1
2.0,-3.0,-10.9
4.0,5.0,66.3
1.0,-5.0,-58.3
5.0,-4.0,-8.0
-1.0,4.0,28.8
2.0,-4.0,-28.4
1.0,3.0,9.7
0.0,3.0,10.5
-1.0,-4.0,-27.200000000000003
-4.0,-1.0,-8.3
-1.0,-3.0,-9.7
1.0,5.0,56.7
4.0,3.0,19.3
2.0,-1.0,0.10000000000000009
5.0,4.0,48.0
-5.0,5.0,37.5
1.0,-2.0,-2.8
2.0,-1.0,0.10000000000000009
-4.0,-2.0,-10.8
4.0,0.0,8.8
-1.0,2.0,2.8
2.0,-5.0,-57.9
-5.0,3.0,-9.5
5.0,3.0,30.5
-1.0,5.0,58.3
0.0,1.0,-0.5
-1.0,5.0,58.3
5.0,-1.0,20.5
-5.0,-4.0,-48.0
2.0,-1.0,0.10000000000000009
2.0,-1.0,0.10000000000000009
5.0,3.0,30.5
-5.0,3.0,-9.5
3.0,-5.0,-55.1
1.0,0.0,-0.8
-3.0,-5.0,-59.900000000000006
0.0,2.0,2.0
-4.0,-5.0,-66.3
4.0,4.0,36.8
-1.0,-1.0,1.3
-5.0,-4.0,-48.0
5.0,4.0,48.0
-5.0,-1.0,-19.5
-1.0,1.0,0.30000000000000004
3.0,-1.0,2.9000000000000004
5.0,2.0,22.0
-3.0,0.0,-2.4000000000000004
-4.0,-5.0,-66.3
1.0,-5.0,-58.3
-1.0,1.0,0.30000000000000004
5.0,1.0,19.5
5.0,0.0,20.0
4.0,-3.0,-1.6999999999999993
1.0,2.0,1.2000000000000002
1.0,5.0,56.7
5.0,-4.0,-8.0
-1.0,-3.0,-9.7
-4.0,-5.0,-66.3
-5.0,-5.0,-77.5
3.0,0.0,2.4000000000000004
-5.0,3.0,-9.5
1.0,5.0,56.7
-2.0,3.0,10.9
-1.0,0.0,0.8
-3.0,-4.0,-30.4
3.0,4.0,30.4
-1.0,5.0,58.3
-4.0,-3.0,-19.3
-2.0,3.0,10.9
3.0,-1.0,2.9000000000000004
3.0,5.0,59.900000000000006
2.0,-5.0,-57.9
1.0,-4.0,-28.8
0.0,4.0,28.0
-1.0,3.0,11.3
3.0,-5.0,-55.1
-4.0,-2.0,-10.8
0.0,0.0,0.0
2.0,2.0,1.5999999999999996
0.0,-4.0,-28.0
3.0,4.0,30.4
-1.0,-2.0,-1.2000000000000002
-2.0,-1.0,0.8999999999999999
-4.0,0.0,-8.8
3.0,0.0,2.4000000000000004
5.0,-5.0,-37.5
-4.0,-3.0,-19.3
0.0,-5.0,-57.5
4.0,2.0,10.8
4.0,-5.0,-48.7
4.0,4.0,36.8
3.0,4.0,30.4
0.0,-3.0,-10.5
4.0,4.0,36.8
2.0,0.0,-0.3999999999999999
5.0,2.0,22.0
-5.0,-1.0,-19.5
-1.0,2.0,2.8
4.0,3.0,19.3
5.0,3.0,30.5
-3.0,-5.0,-59.900000000000006
0.0,-5.0,-57.5
-2.0,5.0,57.9
-4.0,0.0,-8.8
3.0,4.0,30.4
-5.0,4.0,8.0
1.0,-3.0,-11.3
5.0,-4.0,-8.0
2.0,3.0,10.1
3.0,-5.0,-55.1
-1.0,2.0,2.8
1.0,4.0,27.200000000000003
0.0,2.0,2.0
-1.0,-3.0,-9.7
-5.0,4.0,8.0
1.0,-3.0,-11.3
-2.0,3.0,10.9
2.0,-2.0,-2.4
-5.0,5.0,37.5
-4.0,-1.0,-8.3
2.0,1.0,-0.8999999999999999
-1.0,5.0,58.3
-2.0,-1.0,0.8999999999999999
3.0,-1.0,2.9000000000000004
-2.0,3.0,10.9
4.0,2.0,10.8
-3.0,4.0,25.6
3.0,3.0,12.899999999999999
-5.0,2.0,-18.0
4.0,1.0,8.3
0.0,2.0,2.0
-5.0,-5.0,-77.5
3.0,3.0,12.899999999999999
5.0,-3.0,9.5
-1.0,-1.0,1.3
4.0,0.0,8.8
4.0,1.0,8.3
-1.0,1.0,0.30000000000000004
0.0,5.0,57.5
3.0,1.0,1.9000000000000004
-1.0,2.0,2.8
1.0,-2.0,-2.8
5.0,2.0,22.0
-3.0,2.0,-0.40000000000000036
1.0,3.0,9.7
5.0,-3.0,9.5
-2.0,0.0,0.3999999999999999
-2.0,-2.0,-1.5999999999999996
3.0,0.0,2.4000000000000004
5.0,-4.0,-8.0
0.0,-5.0,-57.5
-1.0,-1.0,1.3
-1.0,-2.0,-1.2000000000000002
1.0,1.0,-1.3
4.0,3.0,19.3
-1.0,2.0,2.8
5.0,-5.0,-37.5
5.0,3.0,30.5
3.0,-5.0,-55.1
1.0,5.0,56.7
0.0,1.0,-0.5
3.0,2.0,4.4
0.0,2.0,2.0
1.0,2.0,1.2000000000000002
3.0,4.0,30.4
2.0,0.0,-0.3999999999999999
-3.0,-3.0,-12.899999999999999
-1.0,5.0,58.3
1.0,3.0,9.7
-4.0,3.0,1.6999999999999993
3.0,3.0,12.899999999999999
3.0,1.0,1.9000000000000004
2.0,2.0,1.5999999999999996
-2.0,3.0,10.9
4.0,-3.0,-1.6999999999999993
-5.0,5.0,37.5
0.0,0.0,0.0
-4.0,-5.0,-66.3
-4.0,5.0,48.7
-4.0,2.0,-6.800000000000001
2.0,-4.0,-28.4
-2.0,5.0,57.9
2.0,4.0,27.6
-5.0,3.0,-9.5
1.0,-5.0,-58.3
2.0,1.0,-0.8999999999999999
-4.0,4.0,19.2
-4.0,-4.0,-36.8
-3.0,1.0,-2.9000000000000004
3.0,-2.0,0.40000000000000036
-3.0,-1.0,-1.9000000000000004
-3.0,-2.0,-4.4
4.0,2.0,10.8
-4.0,3.0,1.6999999999999993
0.0,4.0,28.0
-4.0,-5.0,-66.3
2.0,4.0,27.6
-2.0,2.0,2.4
2.0,-2.0,-2.4
2.0,4.0,27.6
4.0,-4.0,-19.2
3.0,-3.0,-8.1
-3.0,-2.0,-4.4
3.0,-5.0,-55.1
-5.0,-5.0,-77.5
1.0,4.0,27.200000000000003
4.0,5.0,66.3
-3.0,3.0,8.1
0.0,-5.0,-57.5
5.0,2.0,22.0
-5.0,0.0,-20.0
3.0,-1.0,2.9000000000000004
0.0,-4.0,-28.0
5.0,-4.0,-8.0
-5.0,-4.0,-48.0
-4.0,3.0,1.6999999999999993
1.0,-5.0,-58.3
-2.0,-5.0,-57.099999999999994
1.0,4.0,27.200000000000003
-2.0,-3.0,-10.1
0.0,-2.0,-2.0
-1.0,4.0,28.8
-2.0,-5.0,-57.099999999999994
1.0,0.0,-0.8
-5.0,5.0,37.5
3.0,4.0,30.4
-1.0,3.0,11.3
-1.0,1.0,0.30000000000000004
0.0,0.0,0.0
2.0,-5.0,-57.9
0.0,-5.0,-57.5
1.0,-1.0,-0.30000000000000004
-4.0,-1.0,-8.3
-2.0,1.0,-0.10000000000000009
-3.0,-5.0,-59.900000000000006
3.0,1.0,1.9000000000000004
-2.0,0.0,0.3999999999999999
-2.0,-4.0,-27.6
-1.0,-3.0,-9.7
-4.0,-2.0,-10.8
-5.0,4.0,8.0
-5.0,3.0,-9.5
-3.0,-5.0,-59.900000000000006
3.0,-3.0,-8.1
-5.0,1.0,-20.5
2.0,0.0,-0.3999999999999999
-1.0,4.0,28.8
-1.0,-5.0,-56.7
2.0,2.0,1.5999999999999996
0.0,-4.0,-28.0
2.0,3.0,10.1
3.0,-2.0,0.40000000000000036
3.0,2.0,4.4
-1.0,-4.0,-27.200000000000003
1.0,-2.0,-2.8
-3.0,2.0,-0.40000000000000036
-4.0,-1.0,-8.3
-5.0,1.0,-20.5
4.0,0.0,8.8
-4.0,5.0,48.7
4.0,1.0,8.3
0.0,-3.0,-10.5
2.0,1.0,-0.8999999999999999
-5.0,3.0,-9.5
-4.0,4.0,19.2
-5.0,0.0,-20.0
0.0,-3.0,-10.5
4.0,5.0,66.3
3.0,-4.0,-25.6
2.0,3.0,10.1
-5.0,-1.0,-19.5
-3.0,5.0,55.1
1.0,-4.0,-28.8
4.0,-1.0,9.3
1.0,2.0,1.2000000000000002
-1.0,-1.0,1.3
-5.0,-5.0,-77.5
-3.0,2.0,-0.40000000000000036
-4.0,3.0,1.6999999999999993
-2.0,-2.0,-1.5999999999999996
-2.0,2.0,2.4
-5.0,1.0,-20.5
1.0,0.0,-0.8
1.0,3.0,9.7
-5.0,2.0,-18.0
3.0,1.0,1.9000000000000004
-1.0,1.0,0.30000000000000004
2.0,-3.0,-10.9
4.0,3.0,19.3
-2.0,-1.0,0.8999999999999999
-4.0,5.0,48.7
-5.0,2.0,-18.0
-1.0,1.0,0.30000000000000004
-2.0,-1.0,0.8999999999999999
5.0,-1.0,20.5
2.0,1.0,-0.8999999999999999
4.0,1.0,8.3
0.0,-4.0,-28.0
3.0,1.0,1.9000000000000004
-1.0,5.0,58.3
2.0,-3.0,-10.9
0.0,-2.0,-2.0
-5.0,-4.0,-48.0
-3.0,-2.0,-4.4
4.0,4.0,36.8
1.0,-2.0,-2.8
3.0,5.0,59.900000000000006
3.0,3.0,12.899999999999999
5.0,-1.0,20.5
-2.0,-4.0,-27.6
-2.0,-5.0,-57.099999999999994
-5.0,-2.0,-22.0
-5.0,4.0,8.0
2.0,1.0,-0.8999999999999999
5.0,-2.0,18.0
3.0,-1.0,2.9000000000000004
4.0,-4.0,-19.2
0.0,-1.0,0.5
4.0,-5.0,-48.7
5.0,0.0,20.0
4.0,3.0,19.3
1.0,4.0,27.200000000000003
2.0,3.0,10.1
2.0,0.0,-0.3999999999999999
1.0,2.0,1.2000000000000002
-2.0,2.0,2.4
-1.0,-4.0,-27.200000000000003
5.0,-3.0,9.5
-3.0,-1.0,-1.9000000000000004
-1.0,5.0,58.3
-1.0,-3.0,-9.7
0.0,4.0,28.0
0.0,-4.0,-28.0
5.0,0.0,20.0
-2.0,-4.0,-27.6
-3.0,-1.0,-1.9000000000000004
3.0,-3.0,-8.1
1.0,2.0,1.2000000000000002
4.0,-5.0,-48.7
0.0,0.0,0.0
3.0,-4.0,-25.6
3.0,1.0,1.9000000000000004
-1.0,3.0,11.3
3.0,5.0,59.900000000000006
-2.0,1.0,-0.10000000000000009
-2.0,2.0,2.4
-5.0,5.0,37.5
0.0,-2.0,-2.0
-1.0,2.0,2.8
-2.0,3.0,10.9
3.0,-4.0,-25.6
-5.0,3.0,-9.5
5.0,0.0,20.0
5.0,-4.0,-8.0
1.0,4.0,27.200000000000003
-3.0,3.0,8.1
5.0,-4.0,-8.0
2.0,3.0,10.1
-5.0,-2.0,-22.0
-2.0,-4.0,-27.6
-4.0,2.0,-6.800000000000001
0.0,-2.0,-2.0
-5.0,0.0,-20.0
1.0,2.0,1.2000000000000002
2.0,-1.0,0.10000000000000009
-4.0,3.0,1.6999999999999993
0.0,4.0,28.0
-2.0,2.0,2.4
1.0,5.0,56.7
-1.0,2.0,2.8
2.0,3.0,10.1
2.0,5.0,57.099999999999994
-4.0,1.0,-9.3
5.0,-4.0,-8.0
-1.0,-4.0,-27.200000000000003
-4.0,-2.0,-10.8
-2.0,-5.0,-57.099999999999994
-2.0,-4.0,-27.6
-3.0,5.0,55.1
1.0,-5.0,-58.3
2.0,5.0,57.099999999999994
-3.0,3.0,8.1
-2.0,5.0,57.9
-1.0,2.0,2.8
1.0,2.0,1.2000000000000002
-2.0,3.0,10.9
1.0,-4.0,-28.8
1.0,5.0,56.7
2.0,5.0,57.099999999999994
1.0,-4.0,-28.8
5.0,-5.0,-37.5
-5.0,-1.0,-19.5
-1.0,3.0,11.3
0.0,0.0,0.0
-4.0,-3.0,-19.3
-4.0,3.0,1.6999999999999993
5.0,-2.0,18.0
4.0,-4.0,-19.2
-5.0,-5.0,-77.5
-3.0,-5.0,-59.900000000000006
-3.0,-2.0,-4.4
-2.0,-5.0,-57.099999999999994
-2.0,-1.0,0.8999999999999999
4.0,4.0,36.8
3.0,5.0,59.900000000000006
-2.0,-3.0,-10.1
2.0,1.0,-0.8999999999999999
0.0,-1.0,0.5
4.0,3.0,19.3
2.0,2.0,1.5999999999999996
-1.0,-2.0,-1.2000000000000002
4.0,-4.0,-19.2
3.0,5.0,59.900000000000006
2.0,-3.0,-10.9
-1.0,3.0,11.3
-4.0,-1.0,-8.3
-3.0,-4.0,-30.4
-5.0,-2.0,-22.0
-5.0,4.0,8.0
0.0,5.0,57.5
3.0,0.0,2.4000000000000004
3.0,-3.0,-8.1
-1.0,-3.0,-9.7
-3.0,3.0,8.1
-1.0,-4.0,-27.200000000000003
0.0,5.0,57.5
0.0,1.0,-0.5
-1.0,3.0,11.3
1.0,-5.0,-58.3
3.0,-2.0,0.40000000000000036
-5.0,1.0,-20.5
-1.0,2.0,2.8
2.0,5.0,57.099999999999994
-4.0,-5.0,-66.3
-2.0,2.0,2.4
-2.0,4.0,28.4
2.0,5.0,57.099999999999994
1.0,5.0,56.7
3.0,5.0,59.900000000000006
-1.0,-5.0,-56.7
-1.0,-2.0,-1.2000000000000002
-1.0,-4.0,-27.200000000000003
2.0,-4.0,-28.4
0.0,3.0,10.5
0.0,2.0,2.0
1.0,5.0,56.7
-2.0,-5.0,-57.099999999999994
-5.0,0.0,-20.0
0.0,4.0,28.0
4.0,-5.0,-48.7
3.0,-1.0,2.9000000000000004
-2.0,-3.0,-10.1
-1.0,-1.0,1.3
3.0,-3.0,-8.1
-2.0,-4.0,-27.6
2.0,-4.0,-28.4
2.0,0.0,-0.3999999999999999
4.0,0.0,8.8
-1.0,-4.0,-27.200000000000003
-2.0,4.0,28.4
-1.0,1.0,0.30000000000000004
-3.0,-4.0,-30.4
1.0,-1.0,-0.30000000000000004
4.0,-4.0,-19.2
3.0,-4.0,-25.6
4.0,-4.0,-19.2
2.0,5.0,57.099999999999994
-1.0,0.0,0.8
2.0,5.0,57.099999999999994
-3.0,-2.0,-4.4
3.0,2.0,4.4
1.0,1.0,-1.3
-1.0,4.0,28.8
2.0,1.0,-0.8999999999999999
5.0,4.0,48.0
4.0,4.0,36.8
-3.0,-5.0,-59.900000000000006
-5.0,-2.0,-22.0
1.0,-3.0,-11.3
4.0,4.0,36.8
5.0,-2.0,18.0
-5.0,4.0,8.0
-2.0,4.0,28.4
2.0,1.0,-0.8999999999999999
4.0,4.0,36.8
0.0,4.0,28.0
3.0,3.0,12.899999999999999
2.0,2.0,1.5999999999999996
2.0,5.0,57.099999999999994
2.0,0.0,-0.3999999999999999
5.0,3.0,30.5
-3.0,2.0,-0.40000000000000036
4.0,5.0,66.3
-4.0,3.0,1.6999999999999993
5.0,0.0,20.0
2.0,-1.0,0.10000000000000009
-2.0,2.0,2.4
0.0,-4.0,-28.0
-3.0,2.0,-0.40000000000000036
5.0,-1.0,20.5
-1.0,-1.0,1.3
-3.0,1.0,-2.9000000000000004
3.0,3.0,12.899999999999999
-1.0,4.0,28.8
1.0,2.0,1.2000000000000002
-3.0,0.0,-2.4000000000000004
-3.0,2.0,-0.40000000000000036
-5.0,4.0,8.0
4.0,-1.0,9.3
-3.0,-1.0,-1.9000000000000004
-2.0,-1.0,0.8999999999999999
-1.0,1.0,0.30000000000000004
-3.0,-1.0,-1.9000000000000004
2.0,4.0,27.6
-1.0,-4.0,-27.200000000000003
2.0,0.0,-0.3999999999999999
1.0,5.0,56.7
-3.0,2.0,-0.40000000000000036
-3.0,-2.0,-4.4
2.0,0.0,-0.3999999999999999
0.0,-4.0,-28.0
-3.0,1.0,-2.9000000000000004
5.0,-5.0,-37.5
-1.0,-2.0,-1.2000000000000002
-2.0,-3.0,-10.1
3.0,5.0,59.900000000000006
4.0,0.0,8.8
-5.0,4.0,8.0
5.0,-3.0,9.5
5.0,4.0,48.0
-3.0,-5.0,-59.900000000000006
0.0,-2.0,-2.0
1.0,-3.0,-11.3
3.0,-2.0,0.40000000000000036
-5.0,1.0,-20.5
-5.0,1.0,-20.5
-3.0,-2.0,-4.4
2.0,2.0,1.5999999999999996
-5.0,-2.0,-22.0
2.0,-3.0,-10.9
-2.0,-1.0,0.8999999999999999
1.0,1.0,-1.3
-2.0,5.0,57.9
0.0,-1.0,0.5
1.0,-3.0,-11.3
3.0,-5.0,-55.1
5.0,0.0,20.0
1.0,-1.0,-0.30000000000000004
-1.0,-4.0,-27.200000000000003
3.0,1.0,1.9000000000000004
0.0,4.0,28.0
0.0,4.0,28.0
-5.0,2.0,-18.0
2.0,-4.0,-28.4
-3.0,3.0,8.1
1.0,4.0,27.200000000000003
3.0,5.0,59.900000000000006
2.0,-5.0,-57.9
3.0,-2.0,0.40000000000000036
1.0,4.0,27.200000000000003
-4.0,2.0,-6.800000000000001
-2.0,-3.0,-10.1
-4.0,3.0,1.6999999999999993
2.0,-5.0,-57.9
-3.0,3.0,8.1
3.0,2.0,4.4
-3.0,2.0,-0.40000000000000036
-1.0,-2.0,-1.2000000000000002
5.0,3.0,30.5
-3.0,3.0,8.1
-5.0,4.0,8.0
1.0,5.0,56.7
-5.0,1.0,-20.5
4.0,-2.0,6.800000000000001
-2.0,1.0,-0.10000000000000009
-2.0,-3.0,-10.1
-5.0,0.0,-20.0
-5.0,-3.0,-30.5
5.0,5.0,77.5
-3.0,0.0,-2.4000000000000004
3.0,1.0,1.9000000000000004
4.0,1.0,8.3
3.0,1.0,1.9000000000000004
3.0,-2.0,0.40000000000000036
4.0,0.0,8.8
-5.0,-3.0,-30.5
3.0,0.0,2.4000000000000004
-5.0,4.0,8.0
1.0,1.0,-1.3
4.0,-4.0,-19.2
3.0,-2.0,0.40000000000000036
0.0,5.0,57.5
-4.0,-5.0,-66.3
-4.0,5.0,48.7
-1.0,-2.0,-1.2000000000000002
3.0,-5.0,-55.1
-5.0,-5.0,-77.5
-4.0,-5.0,-66.3
2.0,-4.0,-28.4
4.0,-2.0,6.800000000000001
-1.0,-1.0,1.3
4.0,2.0,10.8
-5.0,-5.0,-77.5
0.0,0.0,0.0
4.0,0.0,8.8
-2.0,5.0,57.9
-2.0,-1.0,0.8999999999999999
-2.0,0.0,0.3999999999999999
5.0,2.0,22.0
2.0,4.0,27.6
-3.0,2.0,-0.40000000000000036
5.0,-4.0,-8.0
0.0,-3.0,-10.5
4.0,-5.0,-48.7
5.0,3.0,30.5
1.0,-5.0,-58.3
0.0,-1.0,0.5
5.0,3.0,30.5
3.0,-1.0,2.9000000000000004
-3.0,4.0,25.6
-4.0,-1.0,-8.3
4.0,-2.0,6.800000000000001
2.0,1.0,-0.8999999999999999
2.0,4.0,27.6
3.0,2.0,4.4
1.0,-1.0,-0.30000000000000004
2.0,3.0,10.1
2.0,0.0,-0.3999999999999999
0.0,-5.0,-57.5
1.0,4.0,27.200000000000003
-4.0,-5.0,-66.3
3.0,-2.0,0.40000000000000036
3.0,-4.0,-25.6
1.0,1.0,-1.3
-2.0,-1.0,0.8999999999999999
5.0,-4.0,-8.0
5.0,3.0,30.5
-2.0,-3.0,-10.1
-4.0,4.0,19.2
2.0,1.0,-0.8999999999999999
-1.0,3.0,11.3
-4.0,-5.0,-66.3
-4.0,-3.0,-19.3
0.0,-4.0,-28.0
1.0,2.0,1.2000000000000002
0.0,-1.0,0.5
-3.0,2.0,-0.40000000000000036
3.0,1.0,1.9000000000000004
5.0,-1.0,20.5
2.0,5.0,57.099999999999994
4.0,2.0,10.8
0.0,-1.0,0.5
-4.0,-4.0,-36.8
0.0,-2.0,-2.0
5.0,2.0,22.0
-2.0,-4.0,-27.6
-3.0,-3.0,-12.899999999999999
-1.0,-2.0,-1.2000000000000002
3.0,-4.0,-25.6
-3.0,-3.0,-12.899999999999999
1.0,-2.0,-2.8
1.0,-5.0,-58.3
-5.0,0.0,-20.0
1.0,0.0,-0.8
3.0,-2.0,0.40000000000000036
-2.0,-3.0,-10.1
5.0,0.0,20.0
0.0,1.0,-0.5
-1.0,3.0,11.3
2.0,0.0,-0.3999999999999999
-5.0,1.0,-20.5
-1.0,4.0,28.8
-3.0,0.0,-2.4000000000000004
-2.0,4.0,28.4
-4.0,-5.0,-66.3
3.0,0.0,2.4000000000000004
1.0,1.0,-1.3
3.0,-3.0,-8.1
-4.0,1.0,-9.3
2.0,-5.0,-57.9
-2.0,2.0,2.4
5.0,1.0,19.5
3.0,2.0,4.4
-5.0,-3.0,-30.5
0.0,-2.0,-2.0
-5.0,1.0,-20.5
1.0,5.0,56.7
5.0,-3.0,9.5
3.0,-5.0,-55.1
3.0,-2.0,0.40000000000000036
-5.0,3.0,-9.5
-2.0,-4.0,-27.6
5.0,0.0,20.0
2.0,4.0,27.6
2.0,4.0,27.6
-5.0,3.0,-9.5
5.0,-5.0,-37.5
4.0,5.0,66.3
0.0,4.0,28.0
-5.0,4.0,8.0
-1.0,4.0,28.8
-5.0,5.0,37.5
-4.0,4.0,19.2
-5.0,0.0,-20.0
0.0,0.0,0.0
5.0,0.0,20.0
2.0,-5.0,-57.9
4.0,-1.0,9.3
0.0,3.0,10.5
-1.0,0.0,0.8
-4.0,4.0,19.2
5.0,2.0,22.0
-4.0,1.0,-9.3
-4.0,3.0,1.6999999999999993
3.0,5.0,59.900000000000006
5.0,4.0,48.0
-2.0,3.0,10.9
0.0,1.0,-0.5
2.0,5.0,57.099999999999994
0.0,-5.0,-57.5
0.0,-4.0,-28.0
4.0,-4.0,-19.2
0.0,5.0,57.5
-2.0,4.0,28.4
0.0,1.0,-0.5
-2.0,0.0,0.3999999999999999
-1.0,3.0,11.3
1.0,2.0,1.2000000000000002
-2.0,0.0,0.3999999999999999
5.0,3.0,30.5
1.0,0.0,-0.8
1.0,-3.0,-11.3
0.0,-3.0,-10.5
1.0,1.0,-1.3
2.0,-1.0,0.10000000000000009
-2.0,0.0,0.3999999999999999
1.0,5.0,56.7
-4.0,0.0,-8.8
-3.0,3.0,8.1
4.0,-3.0,-1.6999999999999993
-1.0,5.0,58.3
-3.0,-3.0,-12.899999999999999
0.0,-4.0,-28.0
-3.0,-2.0,-4.4
-1.0,-3.0,-9.7
4.0,-4.0,-19.2
4.0,3.0,19.3
-3.0,0.0,-2.4000000000000004
1.0,-1.0,-0.30000000000000004
-4.0,-3.0,-19.3
5.0,1.0,19.5
0.0,0.0,0.0
1.0,2.0,1.2000000000000002
5.0,3.0,30.5
-5.0,-1.0,-19.5
0.0,-2.0,-2.0
2.0,4.0,27.6
-2.0,-2.0,-1.5999999999999996
3.0,3.0,12.899999999999999
4.0,-2.0,6.800000000000001
2.0,-4.0,-28.4
3.0,-1.0,2.9000000000000004
3.0,5.0,59.900000000000006
-2.0,-5.0,-57.099999999999994
3.0,-3.0,-8.1
-2.0,-1.0,0.8999999999999999
-3.0,1.0,-2.9000000000000004
-2.0,-3.0,-10.1
-5.0,4.0,8.0
4.0,0.0,8.8
2.0,3.0,10.1
1.0,-2.0,-2.8
-1.0,-4.0,-27.200000000000003
1.0,-2.0,-2.8
-4.0,1.0,-9.3
0.0,4.0,28.0
5.0,-2.0,18.0
4.0,1.0,8.3
-1.0,-5.0,-56.7
2.0,-3.0,-10.9
0.0,-1.0,0.5
-5.0,1.0,-20.5
4.0,-3.0,-1.6999999999999993
-5.0,-4.0,-48.0
5.0,-3.0,9.5
-3.0,2.0,-0.40000000000000036
4.0,-5.0,-48.7
-3.0,-3.0,-12.899999999999999
5.0,-4.0,-8.0
1.0,5.0,56.7
5.0,-5.0,-37.5
-5.0,2.0,-18.0
-5.0,3.0,-9.5
-5.0,-5.0,-77.5
-3.0,-1.0,-1.9000000000000004
-5.0,3.0,-9.5
0.0,-1.0,0.5
3.0,-2.0,0.40000000000000036
4.0,-2.0,6.800000000000001
-5.0,-5.0,-77.5
-4.0,-2.0,-10.8
-3.0,-5.0,-59.900000000000006
5.0,2.0,22.0
0.0,-4.0,-28.0
4.0,2.0,10.8
-5.0,-2.0,-22.0
1.0,1.0,-1.3
-1.0,0.0,0.8
2.0,4.0,27.6
-2.0,-2.0,-1.5999999999999996
-2.0,1.0,-0.10000000000000009
-5.0,-5.0,-77.5
-4.0,-2.0,-10.8
3.0,-2.0,0.40000000000000036
1.0,-2.0,-2.8
4.0,5.0,66.3
5.0,0.0,20.0
5.0,-3.0,9.5
3.0,-4.0,-25.6
0.0,0.0,0.0
-2.0,-3.0,-10.1
3.0,4.0,30.4
-4.0,1.0,-9.3
-2.0,0.0,0.3999999999999999
-5.0,0.0,-20.0
2.0,-2.0,-2.4
1.0,1.0,-1.3
0.0,5.0,57.5
-5.0,-1.0,-19.5
-4.0,1.0,-9.3
-5.0,2.0,-18.0
-3.0,5.0,55.1
-5.0,-3.0,-30.5
0.0,5.0,57.5
1.0,-5.0,-58.3
4.0,-5.0,-48.7
2.0,1.0,-0.8999999999999999
1.0,5.0,56.7
-2.0,5.0,57.9
-3.0,2.0,-0.40000000000000036
-5.0,5.0,37.5
-3.0,1.0,-2.9000000000000004
3.0,1.0,1.9000000000000004
-5.0,-3.0,-30.5
0.0,-3.0,-10.5
-5.0,3.0,-9.5
-1.0,5.0,58.3
-5.0,-5.0,-77.5
-1.0,2.0,2.8
3.0,1.0,1.9000000000000004
-5.0,-5.0,-77.5
3.0,3.0,12.899999999999999
4.0,3.0,19.3
-3.0,3.0,8.1
3.0,1.0,1.9000000000000004
-2.0,-2.0,-1.5999999999999996
0.0,-1.0,0.5
-4.0,-2.0,-10.8
-3.0,2.0,-0.40000000000000036
-2.0,-2.0,-1.5999999999999996
-1.0,4.0,28.8
1.0,2.0,1.2000000000000002
1.0,4.0,27.200000000000003
-1.0,-2.0,-1.2000000000000002
3.0,-5.0,-55.1
0.0,2.0,2.0
-1.0,0.0,0.8
5.0,4.0,48.0
0.0,2.0,2.0
-4.0,4.0,19.2
-3.0,0.0,-2.4000000000000004
2.0,-4.0,-28.4
-4.0,4.0,19.2
5.0,-4.0,-8.0
5.0,-4.0,-8.0
1.0,3.0,9.7
5.0,1.0,19.5
1.0,0.0,-0.8
-5.0,5.0,37.5
0.0,5.0,57.5
5.0,-1.0,20.5
-5.0,1.0,-20.5
-2.0,-1.0,0.8999999999999999
3.0,-3.0,-8.1
-3.0,-3.0,-12.899999999999999
